epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,68.8971,0.70951,0.55882,1,0.65387,0.00015003,0.00015003,0.00015003
2,129.769,0.63445,0.64706,1,0.60746,0.000310459,0.000310459,0.000310459
3,191.16,0.53393,0.70588,1,0.48172,0.000464286,0.000464286,0.000464286
4,254.303,0.35366,0.88235,1,0.26782,0.000611512,0.000611512,0.000611512
5,315.562,0.21043,0.94118,1,0.33202,0.000752137,0.000752137,0.000752137
6,376.451,0.19511,0.94118,1,0.22646,0.000886161,0.000886161,0.000886161
7,438.304,0.15744,0.85294,1,0.49945,0.00101358,0.00101358,0.00101358
8,499.684,0.14535,0.94118,1,0.30648,0.0011344,0.0011344,0.0011344
9,560.596,0.17485,0.82353,1,1.6216,0.00124862,0.00124862,0.00124862
10,620.765,0.18172,0.85294,1,0.32472,0.00135624,0.00135624,0.00135624
