epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,59.3636,0.70644,0.55882,1,0.68392,0.00015003,0.00015003,0.00015003
2,113.925,0.62801,0.55882,1,0.67104,0.000310459,0.000310459,0.000310459
3,168.288,0.5317,0.67647,1,0.42097,0.000464286,0.000464286,0.000464286
4,222.74,0.34317,0.79412,1,0.49079,0.000611512,0.000611512,0.000611512
5,278.864,0.1949,0.97059,1,0.35981,0.000752137,0.000752137,0.000752137
6,332.021,0.17824,0.97059,1,0.22291,0.000886161,0.000886161,0.000886161
7,386.467,0.1812,0.88235,1,0.24209,0.00101358,0.00101358,0.00101358
8,439.169,0.21694,0.82353,1,0.50193,0.0011344,0.0011344,0.0011344
9,492.402,0.17241,0.94118,1,0.27245,0.00124862,0.00124862,0.00124862
10,544.933,0.1452,0.94118,1,0.32496,0.00135624,0.00135624,0.00135624
